Ability: Transwarp|Transwarp (ability)
Ability: Launch Temporal Destabilization Probe|Launch Temporal Destabilization Probe (ability)
Ability: Heisenberg Amplifier|Heisenberg Amplifier (ability)
Ability: Entropic Redistribution|Entropic Redistribution (ability)
Ability: Causal Reversion|Causal Reversion (ability)
Ability: Entropic Cascade|Entropic Cascade (ability)
Ability: Rapid Decay|Rapid Decay (ability)
Ability: Chronometric Inversion Field|Chronometric Inversion Field (ability)
Ability: Timeline Collapse|Timeline Collapse (ability)
Ability: Shared Fate|Shared Fate (ability)
Ability: Gravimetric Conversion|Gravimetric Conversion (ability)
Ability: Recursive Shearing|Recursive Shearing (ability)
Ability: Timestream Rift Warhead|Timestream Rift Warhead (ability)
Ability: Enhanced Inertial Damper Field|Enhanced Inertial Damper Field (ability)
Ability: Eject Cryoplasma|Eject Cryoplasma (ability)
Ability: Photonic Decoy Swarm|Photonic Decoy Swarm (ability)
Ability: Photon Grenade Launcher Fabrication|Photon Grenade Launcher Fabrication (ability)
Ability: Focused Frenzy|Focused Frenzy (ability)
Ability: Nanoprobe Contagion Field|Nanoprobe Contagion Field (ability)
Ability: Corbomite Maneuver|Corbomite Maneuver (ability)
Ability: Subspace Fold|Subspace Fold (ability)
Ability: Causal Anchor|Causal Anchor (ability)
Ability: Advanced Tactical Computer|Advanced Tactical Computer (ability)
Ability: Photonic Decoy Beacon|Photonic Decoy Beacon (ability)
Ability: Overload Tactical Systems|Overload Tactical Systems (ability)
Ability: Chronotachyon Capacitor|Chronotachyon Capacitor (ability)
Ability: Temporal Shockwave|Temporal Shockwave (ability)
Ability: Buying Time|Buying Time (ability)
Ability: Spiral Wave Disruptor Lance|Spiral Wave Disruptor Lance (ability)
Ability: Throw Kligat|Throw Kligat (ability)
Ability: Transmutation Beam|Transmutation Beam (ability)
Ability: Landru's Will|Landru's Will (ability)
Ability: Methuselah Drone Fabrication|Methuselah Drone Fabrication (ability)
Ability: Nomad Support Drone Fabrication|Nomad Support Drone Fabrication (ability)
Ability: Incremental Phase Shift|Incremental Phase Shift (ability)
Ability: Delphic Tear|Delphic Tear (ability)
Ability: Rock and Roll|Rock and Roll (ability)
Ability: Lone Wolf|Lone Wolf (ability)
Ability: Boost Morale|Boost Morale (ability)
Ability: Intelligence Fleet|Intelligence Fleet (ability)
Ability: Launch Chroniton Fragmentation Warhead|Launch Chroniton Fragmentation Warhead (ability)
Ability: Launch Metreon Gas Warhead|Launch Metreon Gas Warhead (ability)
Ability: Tachyon Particle Field|Tachyon Particle Field (ability)
Ability: Wing Cannon Overload|Wing Cannon Overload (ability)
Ability: Revitalize|Revitalize (ability)
Ability: Threatening Posture|Threatening Posture (ability)
Ability: Precision Offensive|Precision Offensive (ability)
Ability: Diversionary Tactics|Diversionary Tactics (ability)
Ability: Quantum Deceleration Field|Quantum Deceleration Field (ability)
Ability: Repulsor Burst|Repulsor Burst (ability)
Ability: Micro Cryonic Warhead|Micro Cryonic Warhead (ability)
Ability: Freeze Armor|Freeze Armor (ability)
Ability: Cryo Mine Barrier|Cryo Mine Barrier (ability)
Ability: Hurricane Turret|Hurricane Turret (ability)
Ability: Explosive Drone Fabrication|Explosive Drone Fabrication (ability)
Ability: Cryonic Pulse|Cryonic Pulse (ability)
Ability: Interphase Decay|Interphase Decay (ability)
Ability: Anti-Time Entanglement Field|Anti-Time Entanglement Field (ability)
Ability: Corrosive Grenade|Corrosive Grenade (ability)
Ability: Tetryon Sniper Blast|Tetryon Sniper Blast (ability)
Ability: Launch Peregrine Fighters|Launch Peregrine Fighters (ability)
Ability: Plasma Spinal Lance|Plasma Spinal Lance (ability)
Ability: Long Range Sensor Masking|Long Range Sensor Masking (ability)
Ability: Create Fluidic Rift|Create Fluidic Rift (ability)
Ability: Crystalline Spike|Crystalline Spike (ability)
Ability: Flash Bombs|Flash Bombs (ability)
Ability: Destabilized Tachyon Burst|Destabilized Tachyon Burst (ability)
Ability: Distributed Targeting|Distributed Targeting (ability)
Ability: Structural Analysis|Structural Analysis (ability)
Ability: Overload Integrity Field|Overload Integrity Field (ability)
Ability: Protomatter Field|Protomatter Field (ability)
Ability: Point Jump|Point Jump (ability)
Ability: Point Defense Bombardment Warhead|Point Defense Bombardment Warhead (ability)
Ability: Extend Secondary Shields|Extend Secondary Shields (ability)
Ability: Sompek Lightning|Sompek Lightning (ability)
Ability: Disruption Pulse Emitter|Disruption Pulse Emitter (ability)
Ability: Isometric Discharge Array|Isometric Discharge Array (ability)
Ability: Radiation Bombardment|Radiation Bombardment (ability)
Ability: Omni-Directional Tachyon Wave Siphon|Omni-Directional Tachyon Wave Siphon (ability)
Ability: Gravitic Lance|Gravitic Lance (ability)
Ability: Energy Distributor Accelerator|Energy Distributor Accelerator (ability)
Ability: Energy Distributor|Energy Distributor (ability)
Ability: Railgun Barrage|Railgun Barrage (ability)
Ability: Deploy Drone Guardians|Deploy Drone Guardians (ability)
Ability: Micropulse Overcharge|Micropulse Overcharge (ability)
Ability: Dynamic Power Redistributor|Dynamic Power Redistributor (ability)
Ability: Attack Pattern Tuvok|Attack Pattern Tuvok (ability)
Ability: Synchronized Barrage|Synchronized Barrage (ability)
Ability: D.D.D.S. - Photon Mode|D.D.D.S. - Photon Mode (ability)
Ability: D.D.D.S. - Chroniton Mode|D.D.D.S. - Chroniton Mode (ability)
Ability: D.D.D.S. - Tachyon Mode|D.D.D.S. - Tachyon Mode (ability)
Ability: Reiterative Structural Capacitor|Reiterative Structural Capacitor (ability)
Ability: Null Pointer Flood|Null Pointer Flood (ability)
Ability: Narrow Sensor Bands|Narrow Sensor Bands (ability)
Ability: Align Shield Frequencies|Align Shield Frequencies (ability)
Ability: Torpedoes: Nanite Repair Payload|Torpedoes: Nanite Repair Payload (ability)
Ability: Destabilize Warp Core|Destabilize Warp Core (ability)
Ability: Mixed Armaments Synergy|Mixed Armaments Synergy (ability)
Ability: Generate Ablative Protection|Generate Ablative Protection (ability)
Ability: Innovation Effects|Innovation Effects (ability)
Ability: Harmonized Shields|Harmonized Shields (ability)
Ability: Throw Regenerative Nanite Canister|Throw Regenerative Nanite Canister (ability)
Ability: Gravitic Induction Field|Gravitic Induction Field (ability)
Ability: Logic Bomb|Logic Bomb (ability)
Ability: Overload Power Cells|Overload Power Cells (ability)
Ability: VISOR Emulation Overlay|VISOR Emulation Overlay (ability)
Ability: Technical Mishap|Technical Mishap (ability)
Ability: Cryo Visor Blast|Cryo Visor Blast (ability)
Ability: Cloak of T'Kuvma|Cloak of T'Kuvma (ability)
Ability: Scratch the Paint|Scratch the Paint (ability)
Ability: Lorca Maneuver|Lorca Maneuver (ability)
Ability: Multi-Target Tractor Arrays|Multi-Target Tractor Arrays (ability)
Ability: Vulnerability Assessment Sweep|Vulnerability Assessment Sweep (ability)
Ability: Intrusive Energy Redirection|Intrusive Energy Redirection (ability)
Ability: Co-opt Energy Weapons|Co-opt Energy Weapons (ability)
Ability: Supplemental Weaponry|Supplemental Weaponry (ability)
Ability: Allied Energy Enhancements|Allied Energy Enhancements (ability)
Ability: Summon Heavy Attack Craft|Summon Heavy Attack Craft (ability)
Ability: Target Synchronization|Target Synchronization (ability)
Ability: Power Dispersal Wave|Power Dispersal Wave (ability)
Ability: Antipolaron Particle Burst|Antipolaron Particle Burst (ability)
Ability: Seeker Bomb|Seeker Bomb (ability)
Ability: Obfuscation Screen|Obfuscation Screen (ability)
Ability: Forceful Inspection|Forceful Inspection (ability)
Ability: Vanguard Wingmen|Vanguard Wingmen (ability)
Ability: Hyper-focusing Trinary Arrays|Hyper-focusing Trinary Arrays (ability)
Ability: Borrowed Time|Borrowed Time (ability)
Ability: Energy Feedback Conductor|Energy Feedback Conductor (ability)
Ability: Protomatter-Infused Torpedoes|Protomatter-Infused Torpedoes (ability)
Ability: Piezo-Electric Technologies|Piezo-Electric Technologies (ability)
Ability: Deep Space Mine|Deep Space Mine (ability)
Ability: Temporal Threading|Temporal Threading (ability)
Ability: Seeking Mine Subroutine|Seeking Mine Subroutine (ability)
Ability: Reputation Flourish|Reputation Flourish (ability)
Ability: Supercharged SIF Conduits|Supercharged SIF Conduits (ability)
Ability: Nullifying Tractor Field|Nullifying Tractor Field (ability)
Ability: Overwhelming Tactics|Overwhelming Tactics (ability)
Ability: Integrated Hazard Emitters|Integrated Hazard Emitters (ability)
Ability: Temporal Fracture|Temporal Fracture (ability)
Ability: Hunker Down|Hunker Down (ability)
Ability: Electrokinetic Discharge|Electrokinetic Discharge (ability)
Ability: Temporal Stasis|Temporal Stasis (ability)
Ability: Tactical Mode (Crossfield)|Tactical Mode (Crossfield) (ability)
Ability: Weaponized Helical Torsion|Weaponized Helical Torsion (ability)
Ability: Relocate Mines|Relocate Mines (ability)
Ability: The Power of Math|The Power of Math (ability)
Ability: Scimitar Battle Cloak|Scimitar Battle Cloak (ability)
Ability: Terran Assault Squad|Terran Assault Squad (ability)
Ability: Tactical Mode (Section 31)|Tactical Mode (Section 31) (ability)
Ability: Entangled Quantum Bombardment|Entangled Quantum Bombardment (ability)
Ability: Cascading Subatomic Disruptions|Cascading Subatomic Disruptions (ability)
Ability: Refracting Energy Shunt|Refracting Energy Shunt (ability)
Ability: Graviton Displacer|Graviton Displacer (ability)
Ability: Starfleet-Altamid Hybrid Arms|Starfleet-Altamid Hybrid Arms (ability)
Ability: Delayed Overload Cascade|Delayed Overload Cascade (ability)
Ability: Elachi Mycelial Phasing|Elachi Mycelial Phasing (ability)
Ability: VHF Disruptive Transmission|VHF Disruptive Transmission (ability)
Ability: Automated Defense Screens|Automated Defense Screens (ability)
Ability: Juggernaut Array|Juggernaut Array (ability)
Ability: D.O.M.I.N.O.|D.O.M.I.N.O. (ability)
Ability: Deploy Wing Torpedo Launcher Platforms|Deploy Wing Torpedo Launcher Platforms (ability)
Ability: Gateway Trap|Gateway Trap (ability)
Ability: Neurophasic Disruption Field|Neurophasic Disruption Field (ability)
Ability: Daring to do Better|Daring to do Better (ability)
Ability: Temporal Vortex|Temporal Vortex (ability)
Ability: Deploy Elite Defense Satellite|Deploy Elite Defense Satellite (ability)
Ability: Pursuit Mode|Pursuit Mode (ability)
Ability: Deploy Support Platform Cluster|Deploy Support Platform Cluster (ability)
Ability: Deploy Mobile Torpedo Platform|Deploy Mobile Torpedo Platform (ability)
Ability: Spiral Wave Disruptor Blast|Spiral Wave Disruptor Blast (ability)
Ability: Mycelial Spore Burst|Mycelial Spore Burst (ability)
Ability: Deploy Fleet Support Platform|Deploy Fleet Support Platform (ability)
Ability: Dark Mode|Dark Mode (ability)
Ability: Enhanced Tractor Drones|Enhanced Tractor Drones (ability)
Ability: Photonic Ambush|Photonic Ambush (ability)
Ability: Romulan Enhanced Battle Cloak|Romulan Enhanced Battle Cloak (ability)
Ability: Predator, Prey|Predator, Prey (ability)
Ability: Deploy Swarm|Deploy Swarm (ability)
Ability: Tactical Mode (Titan)|Tactical Mode (Titan) (ability)
Ability: Create Interphasic Rift|Create Interphasic Rift (ability)
Ability: Immolating Phaser Lance|Immolating Phaser Lance (ability)
Ability: Federation Battle Cloak (32c.)|Federation Battle Cloak (32c.) (ability)
Ability: I.F.F. Manipulator|I.F.F. Manipulator (ability)
Ability: Tactical Mode (Courage)|Tactical Mode (Courage) (ability)
Ability: Careless Overload|Careless Overload (ability)
Ability: Phased-Space Membrane|Phased-Space Membrane (ability)
Ability: Sonic Disruption|Sonic Disruption (ability)
Ability: Molten Terrain|Molten Terrain (ability)
Ability: Viridian Battle Cloak (32c.)|Viridian Battle Cloak (32c.) (ability)
Ability: Agony Redistributor|Agony Redistributor (ability)
Ability: Destabilized Dimensional Rift|Destabilized Dimensional Rift (ability)
Ability: Multi-Directional Artillery Barrage|Multi-Directional Artillery Barrage (ability)
Ability: Decentralized Immunity|Decentralized Immunity (ability)
Ability: Image Refractors|Image Refractors (ability)
Ability: Dark Mode (Combat Variant)|Dark Mode (Combat Variant) (ability)
Ability: Agony Phaser Spinal Lance|Agony Phaser Spinal Lance (ability)
Ability: Force Translator|Force Translator (ability)
Ability: Field-Replicated Buster Pods|Field-Replicated Buster Pods (ability)
Ability: Deploy Photonic Cannon|Deploy Photonic Cannon (ability)
Ability: Reactive Radiometric Shielding|Reactive Radiometric Shielding (ability)
Ability: Great Material Continuum|Great Material Continuum (ability)
Ability: Launch Temporal MIRV|Launch Temporal MIRV (ability)
Ability: Morph Reversal|Morph Reversal (ability)
Ability: Smasher Assembly|Smasher Assembly (ability)
Ability: Subspace Cavitation|Subspace Cavitation (ability)
Ability: Harvester Mode|Harvester Mode (ability)
Ability: Create Harmonized Shield Barrier|Create Harmonized Shield Barrier (ability)
Ability: Bombing Run|Bombing Run (ability)
Ability: Resistance is Futile|Resistance is Futile (ability)
Ability: Aligned Shielding|Aligned Shielding (ability)
Ability: Ionic Deflector Inversion|Ionic Deflector Inversion (ability)
Ability: Sensor Suspension Burst|Sensor Suspension Burst (ability)
Ability: Dark Matter Anomaly|Dark Matter Anomaly (ability)
Ability: Cnidarian Defense|Cnidarian Defense (ability)
Ability: Subspace Agitation|Subspace Agitation (ability)
Ability: Deploy Drone Swarm|Deploy Drone Swarm (ability)
Ability: Computer-Assisted Flight Algorithms|Computer-Assisted Flight Algorithms (ability)
Ability: Deploy Defense Platform|Deploy Defense Platform (ability)
Ability: Into the Maw|Into the Maw (ability)
Ability: Debris Screen|Debris Screen (ability)
Ability: Collective Will|Collective Will (ability)
Ability: Spinal Mount Plasma Torpedo|Spinal Mount Plasma Torpedo (ability)
Ability: Antimatter Bomb|Antimatter Bomb (ability)
Ability: World Razer Juggernaut Array|World Razer Juggernaut Array (ability)
Ability: Light of Civilization|Light of Civilization (ability)
Ability: Coordinate Bombing Strike|Coordinate Bombing Strike (ability)
Ability: Delegated Devastation|Delegated Devastation (ability)
Ability: Deploy Lure Team|Deploy Lure Team (ability)
Ability: Bio-Electrical Wave|Bio-Electrical Wave (ability)
Ability: Breath of the Dragon|Breath of the Dragon (ability)
Ability: V.A.Q. Warhead Multiple Launch System|V.A.Q. Warhead Multiple Launch System (ability)
Ability: Experimental Power Redirection|Experimental Power Redirection (ability)
Ability: Deploy Brancher Fragments|Deploy Brancher Fragments (ability)
Ability: Invasive Control Mechanism|Invasive Control Mechanism (ability)
Ability: Massive Quantum Warhead|Massive Quantum Warhead (ability)
Ability: Freelance Security Detachment IV|Freelance Security Detachment IV (ability)
Ability: Personalized Spatial Trajector|Personalized Spatial Trajector (ability)
Ability: Tal Shiar Forensic Scanner|Tal Shiar Forensic Scanner (ability)
Ability: Hurricane Wave Device|Hurricane Wave Device (ability)
Ability: EPS Corruption|EPS Corruption (ability)
Ability: Tractor Beam Catapult|Tractor Beam Catapult (ability)
Ability: Malicious AI|Malicious AI (ability)
Ability: Reverberant Shield Inversion|Reverberant Shield Inversion (ability)
Ability: Destabilized Proton Eruption|Destabilized Proton Eruption (ability)
Ability: Networked Protonic Shielding|Networked Protonic Shielding (ability)
Ability: Let It Go|Let It Go (ability)
Ability: Augment Boarding Party|Augment Boarding Party (ability)
Ability: Best Served Cold|Best Served Cold (ability)
Ability: Deploy Construction Shuttle Wing|Deploy Construction Shuttle Wing (ability)
Ability: Very Cold In Space|Very Cold In Space (ability)
Ability: Energy Weapons: Exceed Rated Limits|Energy Weapons: Exceed Rated Limits (ability)
Ability: Auxiliary to Inertial Dampers|Auxiliary to Inertial Dampers (ability)
Ability: Emergency Power to Engines|Emergency Power to Engines (ability)
Ability: Neptune's Snare|Neptune's Snare (ability)
Ability: Nova Fleet Recruitment Drive|Nova Fleet Recruitment Drive (ability)
Ability: Launch Infinity Courier|Launch Infinity Courier (ability)
Ability: Gre'thor's Chains|Gre'thor's Chains (ability)
Ability: Anchor of Gre'thor|Anchor of Gre'thor (ability)
Ability: Assimilate|Assimilate (ability)
Ability: Plasma Feedback Cascade|Plasma Feedback Cascade (ability)
Ability: Jam Subspace Transmissions|Jam Subspace Transmissions (ability)
Ability: Overcharge Turret Fabrication|Overcharge Turret Fabrication (ability)
Ability: Overload Supplemental Subsystems|Overload Supplemental Subsystems (ability)
Ability: Aggressive Negotiations|Aggressive Negotiations (ability)
Ability: Organic Nebula|Organic Nebula (ability)
Ability: Plasma Disintegrator|Plasma Disintegrator (ability)
Ability: Viridian Juggernaut Array|Viridian Juggernaut Array (ability)
Ability: Coordinated Engagement Solution|Coordinated Engagement Solution (ability)
Ability: Launch Federation Mission Scout Ship|Launch Federation Mission Scout Ship (ability)
Ability: Holographic Configuration|Holographic Configuration (ability)
Ability: Activate Holomatrix|Activate Holomatrix (ability)
Ability: Imperium Polaron Subjugation Array|Imperium Polaron Subjugation Array (ability)
